stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_code
WR,West Harbour GO,43.266775,-79.866222,18,https://www.gotransit.com/find-a-station-or-stop/WR/station-details,0,,1,
WH,Whitby GO,43.86484,-78.93818,93,https://www.gotransit.com/find-a-station-or-stop/WH/station-details,0,,1,
WE,Weston GO,43.70029,-79.51368,04,https://www.gotransit.com/find-a-station-or-stop/WE/station-details,0,,1,
UN,Union Station GO,43.645195,-79.3806,02,https://www.gotransit.com/find-a-station-or-stop/UN/station-details,0,,1,
UI,Unionville GO,43.851689,-79.314332,71,https://www.gotransit.com/find-a-station-or-stop/UI/station-details,0,,1,
ST,Stouffville GO,43.970924,-79.249989,74,https://www.gotransit.com/find-a-station-or-stop/ST/station-details,0,,1,
SR,Streetsville GO,43.575584,-79.70882,21,https://www.gotransit.com/find-a-station-or-stop/SR/station-details,0,,1,
SCTH,St. Catharines GO,43.1476135,-79.2549057,83,https://www.gotransit.com/find-a-station-or-stop/SCTH/station-details,0,,1,
SC,Scarborough GO,43.716945,-79.254722,06,https://www.gotransit.com/find-a-station-or-stop/SC/station-details,0,,1,
RU,Rutherford GO,43.838487,-79.498819,61,https://www.gotransit.com/find-a-station-or-stop/RU/station-details,0,,1,
RO,Rouge Hill GO,43.780375,-79.130646,09,https://www.gotransit.com/find-a-station-or-stop/RO/station-details,0,,1,
RI,Richmond Hill GO,43.874307,-79.426167,50,https://www.gotransit.com/find-a-station-or-stop/RI/station-details,0,,1,
PO,Port Credit GO,43.555999,-79.586881,10,https://www.gotransit.com/find-a-station-or-stop/PO/station-details,0,,1,
PIN,Pickering GO,43.831576,-79.084594,91,https://www.gotransit.com/find-a-station-or-stop/PIN/station-details,0,,1,
OS,Durham College Oshawa GO,43.871004,-78.884807,94,https://www.gotransit.com/find-a-station-or-stop/OS/station-details,0,,1,
OR,Oriole GO,43.765518,-79.364275,05,https://www.gotransit.com/find-a-station-or-stop/OR/station-details,0,,2,
OL,Old Cummer GO,43.793703,-79.371403,05,https://www.gotransit.com/find-a-station-or-stop/OL/station-details,0,,1,
OA,Oakville GO,43.455594,-79.682242,13,https://www.gotransit.com/find-a-station-or-stop/OA/station-details,0,,1,
NI,Niagara Falls GO,43.108882,-79.063319,84,https://www.gotransit.com/find-a-station-or-stop/NI/station-details,0,,1,
NE,Newmarket GO,44.060426,-79.459289,64,https://www.gotransit.com/find-a-station-or-stop/NE/station-details,0,,1,
MR,Markham GO,43.882691,-79.262469,72,https://www.gotransit.com/find-a-station-or-stop/MR/station-details,0,,1,
MP,Maple GO,43.859481,-79.506984,61,https://www.gotransit.com/find-a-station-or-stop/MP/station-details,0,,1,
MO,Mount Pleasant GO,43.6749763,-79.8221817,34,https://www.gotransit.com/find-a-station-or-stop/MO/station-details,0,,1,
ML,Milton GO,43.52364,-79.867172,24,https://www.gotransit.com/find-a-station-or-stop/ML/station-details,0,,1,
MK,Milliken GO,43.823227,-79.301785,70,https://www.gotransit.com/find-a-station-or-stop/MK/station-details,0,,1,
MJ,Mount Joy GO,43.900521,-79.26313,73,https://www.gotransit.com/find-a-station-or-stop/MJ/station-details,0,,1,
MI,Mimico GO,43.616411,-79.497762,79,https://www.gotransit.com/find-a-station-or-stop/MI/station-details,0,,2,
ME,Meadowvale GO,43.597566,-79.754328,22,https://www.gotransit.com/find-a-station-or-stop/ME/station-details,0,,1,
MD,Mount Dennis GO,43.68749,-79.48703,111,https://www.gotransit.com/find-a-station-or-stop/MD/station-details,0,,1,
MA,Malton GO,43.705153,-79.63823,31,https://www.gotransit.com/find-a-station-or-stop/MA/station-details,0,,1,
LS,Lisgar GO,43.590791,-79.788539,23,https://www.gotransit.com/find-a-station-or-stop/LS/station-details,0,,1,
LO,Long Branch GO,43.591317,-79.546149,59,https://www.gotransit.com/find-a-station-or-stop/LO/station-details,0,,2,
LI,Old Elm GO,43.990395,-79.237098,74,https://www.gotransit.com/find-a-station-or-stop/LI/station-details,0,,1,
