service_id,date,exception_type
6404,20260201,1
3302,20260202,1
3602,20260202,1
3302,20260203,1
3602,20260203,1
3302,20260204,1
3602,20260204,1
3302,20260205,1
3602,20260205,1
3302,20260206,1
3602,20260206,1
3903,20260207,1
6404,20260208,1
3302,20260209,1
3602,20260209,1
3302,20260210,1
3602,20260210,1
3302,20260211,1
3602,20260211,1
3302,20260212,1
3602,20260212,1
3302,20260213,1
3602,20260213,1
3903,20260214,1
6404,20260215,1
30,20260216,1
2,20260216,2
3302,20260217,1
3302,20260218,1
3302,20260219,1
3302,20260220,1
3903,20260221,1
6404,20260222,1
3302,20260223,1
3602,20260223,1
3302,20260224,1
3602,20260224,1
3302,20260225,1
3602,20260225,1
3302,20260226,1
3602,20260226,1
3302,20260227,1
3602,20260227,1
3903,20260228,1
6404,20260301,1
3302,20260302,1
3602,20260302,1
3302,20260303,1
3602,20260303,1
3302,20260304,1
3602,20260304,1
3302,20260305,1
3602,20260305,1
3302,20260306,1
3602,20260306,1
3903,20260307,1
6404,20260308,1
3302,20260309,1
3602,20260309,1
3302,20260310,1
3602,20260310,1
3302,20260311,1
3602,20260311,1
3302,20260312,1
3602,20260312,1
3302,20260313,1
3602,20260313,1
3903,20260314,1
6404,20260315,1
3302,20260316,1
3602,20260316,1
3302,20260317,1
3602,20260317,1
3302,20260318,1
3602,20260318,1
3302,20260319,1
3602,20260319,1
3302,20260320,1
3602,20260320,1
3903,20260321,1
6404,20260322,1
3302,20260323,1
3602,20260323,1
3302,20260324,1
3602,20260324,1
3302,20260325,1
3602,20260325,1
3302,20260326,1
3602,20260326,1
3302,20260327,1
3602,20260327,1
3903,20260328,1
6404,20260329,1
3302,20260330,1
3602,20260330,1
3302,20260331,1
3602,20260331,1
3302,20260401,1
3602,20260401,1
3302,20260402,1
3602,20260402,1
30,20260403,1
2,20260403,2
3903,20260404,1
6404,20260405,1
3302,20260406,1
3602,20260406,1
3302,20260407,1
3602,20260407,1
3302,20260408,1
3602,20260408,1
3302,20260409,1
3602,20260409,1
3302,20260410,1
3602,20260410,1
3903,20260411,1
6404,20260412,1
3302,20260413,1
3302,20260414,1
3302,20260415,1
3302,20260416,1
3302,20260417,1
3903,20260418,1
6404,20260419,1
3302,20260420,1
3302,20260421,1
3302,20260422,1
3302,20260423,1
3302,20260424,1
3903,20260425,1
6404,20260426,1
3302,20260427,1
3302,20260428,1
3302,20260429,1
3302,20260430,1
3302,20260501,1
3903,20260502,1
